aircraft_type,rows,model_name,manufacturer,entry_year,source,has_model_name,has_entry_year,share_rows,guess_category,suggested_action
GA5C,81,Gulfstream G500,,1995.0,wikidata:P606,True,True,0.0014585659235783483,general_aviation,OK
GA7C,80,Gulfstream G700,,2020.0,wikidata:P606,True,True,0.0014405589368675046,general_aviation,OK
EH10,79,AgustaWestland EH101 Merlin,,1987.0,wikidata:P606,True,True,0.0014225519501566608,unknown,OK
P208,79,Tecnam P2008,,,,True,False,0.0014225519501566608,unknown,MED: improve scraping (try other queries / props / sources)
E545,78,Embraer Legacy 450,,,,True,False,0.001404544963445817,airliner_or_regional,MED: improve scraping (try other queries / props / sources)
F100,77,Fokker 100,,1986.0,wikidata:P606,True,True,0.0013865379767349733,military_or_special,OK
F15,77,McDonnell Douglas F-15 Eagle,,1972.0,wikidata:P606,True,True,0.0013865379767349733,military_or_special,OK
LYNX,77,Westland Lynx,,1971.0,wikidata:P606,True,True,0.0013865379767349733,unknown,OK
UH1,76,Bell UH-1 Iroquois,,1956.0,wikidata:P606,True,True,0.0013685309900241293,helicopter,OK
A169,75,AgustaWestland AW169,,2012.0,wikidata:P606,True,True,0.0013505240033132855,unknown,OK
TOR,73,Panavia Tornado,,1974.0,wikidata:P606,True,True,0.001314510029891598,unknown,OK
BCS1,70,Airbus A220-100 (Bombardier CS100),,,,True,False,0.0012604890697590664,airliner,MED: improve scraping (try other queries / props / sources)
B412,69,Bell 412,,1979.0,wikidata:P606,True,True,0.0012424820830482226,helicopter,OK
B52,69,Boeing B-52 Stratofortress,,1952.0,wikidata:P606,True,True,0.0012424820830482226,unknown,OK
E314,69,Embraer ERJ-145,,1995.0,wikidata:P606,True,True,0.0012424820830482226,airliner,OK
MD11,69,McDonnell Douglas MD-11,,1990.0,wikidata:P606,True,True,0.0012424820830482226,unknown,OK
F16,68,General Dynamics F-16 Fighting Falcon,,1974.0,wikidata:P606,True,True,0.0012244750963373789,military_or_special,OK
E120,66,Embraer EMB 120 Brasilia,,1983.0,wikidata:P606,True,True,0.0011884611229156913,airliner,OK
PA31,66,Piper PA-31 Navajo,,1964.0,wikidata:P606,True,True,0.0011884611229156913,general_aviation,OK
C560,65,Cessna Citation V,,1987.0,wikidata:P606,True,True,0.0011704541362048476,general_aviation,OK
F2TH,65,Dassault Falcon 2000,,,,True,False,0.0011704541362048476,unknown,MED: improve scraping (try other queries / props / sources)
FA20,65,Dassault Falcon 20,,2001.0,wikidata:P606,True,True,0.0011704541362048476,unknown,OK
GL5T,65,Gulfstream G500,,1995.0,wikidata:P606,True,True,0.0011704541362048476,general_aviation,OK
E550,64,Embraer Legacy 500,,2013.0,wikidata:P606,True,True,0.0011524471494940036,airliner_or_regional,OK
BE9L,63,Beechcraft King Air 90,,1963.0,wikidata:P606,True,True,0.0011344401627831598,general_aviation,OK
DC10,62,McDonnell Douglas DC-10,,1970.0,wikidata:P606,True,True,0.001116433176072316,unknown,OK
S76,62,Sikorsky S-76,,1977.0,wikidata:P606,True,True,0.001116433176072316,unknown,OK
AT45,61,ATR 42-500,,,,True,False,0.0010984261893614723,airliner,MED: improve scraping (try other queries / props / sources)
C27J,59,Alenia C-27J Spartan,,1999.0,wikidata:P606,True,True,0.0010624122159397847,unknown,OK
C525,58,Cessna Citation CJ4,,,,True,False,0.001044405229228941,general_aviation,MED: improve scraping (try other queries / props / sources)
E45X,58,Embraer Legacy 450,,,,True,False,0.001044405229228941,unknown,MED: improve scraping (try other queries / props / sources)
MD83,58,McDonnell Douglas MD-83,,1984.0,wikidata:P606,True,True,0.001044405229228941,unknown,OK
A343,57,Airbus A340-300,,1991.0,wikidata:P606,True,True,0.001026398242518097,airliner,OK
BN2P,57,Britten-Norman BN-2 Islander,,1965.0,wikidata:P606,True,True,0.001026398242518097,unknown,OK
P3,57,Lockheed P-3 Orion,,1959.0,wikidata:P606,True,True,0.001026398242518097,military,OK
B212,56,Bell 212,,1965.0,wikidata:P606,True,True,0.0010083912558072532,helicopter,OK
SR22,56,Cirrus SR22,,2000.0,wikidata:P606,True,True,0.0010083912558072532,general_aviation,OK
A748,54,Antonov An-74,,1983.0,wikidata:P606,True,True,0.0009723772823855656,unknown,OK
C510,54,Cessna Citation Mustang,,2005.0,wikidata:P606,True,True,0.0009723772823855656,general_aviation,OK
AT43,53,Aerospatiale/Alenia ATR 42-300,,,,True,False,0.0009543702956747218,airliner,MED: improve scraping (try other queries / props / sources)
B429,53,Bell 429,,2007.0,wikidata:P606,True,True,0.0009543702956747218,helicopter,OK
FA7X,53,Dassault Falcon 7X,,2005.0,wikidata:P606,True,True,0.0009543702956747218,unknown,OK
GLID,53,Glider (generic),,,,True,False,0.0009543702956747218,unknown,MED: improve scraping (try other queries / props / sources)
P180,53,Piaggio P.180 Avanti,,,,True,False,0.0009543702956747218,unknown,MED: improve scraping (try other queries / props / sources)
BE58,52,Beechcraft Baron,,1960.0,wikidata:P606,True,True,0.000936363308963878,general_aviation,OK
EC25,52,,,,,False,False,0.000936363308963878,helicopter,LOW/MED: optional (non-core) — can ignore or map later
C5M,51,Lockheed C-5M Super Galaxy,,2002.0,wikidata:P606,True,True,0.0009183563222530342,military,OK
A10,49,Fairchild Republic A-10 Thunderbolt II,,1972.0,wikidata:P606,True,True,0.0008823423488313466,unknown,OK
DH8B,49,De Havilland Canada Dash 8-200,,,,True,False,0.0008823423488313466,airliner,MED: improve scraping (try other queries / props / sources)
G12T,49,Gulfstream G120,,,,True,False,0.0008823423488313466,general_aviation,MED: improve scraping (try other queries / props / sources)
GA8C,49,GippsAero GA8 Airvan,,,,True,False,0.0008823423488313466,unknown,MED: improve scraping (try other queries / props / sources)
SH36,49,Shorts SD.360,,,,True,False,0.0008823423488313466,unknown,MED: improve scraping (try other queries / props / sources)
B753,48,Boeing 757-300,,1998.0,wikidata:P606,True,True,0.0008643353621205028,airliner,OK
