airline_name,country,region,avg_entry_year,modern_count_2015,modern_count_2010,diversity_score,fleet_size,pct_modern_2015,pct_modern_2010,modernity_index
United Kingdom - Army Air Corps,Zimbabwe,Africa,1970.7377049180327,0,0,4,61,0.0,0.0,0.0
United Kingdom - Royal Air Force,Zimbabwe,Africa,1982.5852842809363,0,0,11,299,0.0,0.0,0.0
United Kingdom - Royal Air Force Air Transport,Zimbabwe,Africa,1997.438596491228,0,0,6,57,0.0,0.0,0.0
United Kingdom - Royal Navy,Zimbabwe,Africa,1980.782608695652,0,0,3,92,0.0,0.0,0.0
United Nations,Ukraine,Europe,1982.2,0,0,11,30,0.0,0.0,0.0
United States - Air Force,Guernesey,Europe,1982.919463087248,0,0,15,149,0.0,0.0,0.0
United States - California Department of Forestry,Porto Rico,North America,1964.382978723404,0,0,4,47,0.0,0.0,0.0
United States - Coast Guard,Guernesey,Europe,1997.2727272727277,0,0,2,33,0.0,0.0,0.0
United States - Department of State,Porto Rico,North America,1968.125,0,0,3,8,0.0,0.0,0.0
United States - Florida Forest Service,Porto Rico,North America,1956.8947368421047,0,0,4,19,0.0,0.0,0.0
United States - Maryland State Police,Porto Rico,North America,2001.0,0,0,1,10,0.0,0.0,0.0
United States - NASA,Porto Rico,North America,1967.6521739130435,0,0,13,46,0.0,0.0,0.0
United States - North Carolina Forest Service,Porto Rico,North America,1959.8125,0,0,6,16,0.0,0.0,0.0
United States - US Department of Interior,Porto Rico,North America,1952.7727272727277,0,0,4,22,0.0,0.0,0.0
United States - US Immigration and Customs Enforcement,Porto Rico,North America,1973.7911392405065,0,0,7,158,0.0,0.0,0.0
University of Central Missouri Aviation,Porto Rico,North America,1955.0,0,0,1,17,0.0,0.0,0.0
Ural Airlines,Russie,Europe,2001.793103448276,8,11,4,29,27.58620689655172,37.93103448275862,0.2758620689655172
Urumqi Air,Taïwan,Asia,1997.0,0,0,1,16,0.0,0.0,0.0
Utair,Russie,Europe,1990.619047619048,0,0,7,42,0.0,0.0,0.0
Uzbekistan Airways,Ouzbékistan,Asia,1997.645161290323,5,15,7,31,16.129032258064516,48.38709677419355,0.1612903225806451
VallJet,France,Europe,1989.857142857143,0,0,3,7,0.0,0.0,0.0
Varesh Airlines,Iran,Asia,1985.875,0,0,2,8,0.0,0.0,0.0
Ventura,Porto Rico,North America,1992.7142857142856,0,0,2,7,0.0,0.0,0.0
